,Day,Negative,Bitcoin
151,2018-02-12,13.222222222222221,18
152,2018-02-13,13.444444444444445,16
153,2018-02-14,8.777777777777779,16
154,2018-02-15,11.555555555555555,18
155,2018-02-16,11.444444444444445,16
156,2018-02-17,14.88888888888889,15
157,2018-02-18,8.0,16
158,2018-02-19,8.444444444444445,15
159,2018-02-20,10.444444444444445,16
160,2018-02-21,9.222222222222221,16
161,2018-02-22,9.88888888888889,15
162,2018-02-23,6.333333333333333,14
163,2018-02-24,8.666666666666666,12
164,2018-02-25,8.555555555555555,11
165,2018-02-26,7.555555555555555,13
166,2018-02-27,7.555555555555555,13
167,2018-02-28,8.777777777777779,12
168,2018-03-01,5.0,11
169,2018-03-02,9.88888888888889,11
170,2018-03-03,7.0,11
171,2018-03-04,4.333333333333333,10
172,2018-03-05,8.222222222222221,11
