,Date,Bitcoin,Negative,Positive
62,2017-11-15,17,16.77777777777778,17.333333333333332
63,2017-11-16,18,13.0,15.333333333333334
64,2017-11-17,20,18.333333333333332,19.11111111111111
65,2017-11-18,15,8.777777777777779,14.444444444444445
66,2017-11-19,15,13.222222222222221,20.444444444444443
67,2017-11-20,19,16.444444444444443,22.666666666666668
68,2017-11-21,20,20.555555555555557,20.88888888888889
69,2017-11-22,17,13.88888888888889,21.666666666666668
70,2017-11-23,16,12.88888888888889,14.777777777777779
71,2017-11-24,15,14.0,13.666666666666666
72,2017-11-25,16,15.222222222222221,20.77777777777778
73,2017-11-26,24,17.0,25.11111111111111
74,2017-11-27,33,29.77777777777778,35.55555555555556
75,2017-11-28,37,31.77777777777778,37.0
76,2017-11-29,61,42.44444444444444,56.888888888888886
77,2017-11-30,50,33.666666666666664,36.666666666666664
78,2017-12-01,37,27.88888888888889,32.666666666666664
79,2017-12-02,30,17.444444444444443,29.333333333333332
80,2017-12-03,31,27.333333333333332,26.77777777777778
81,2017-12-04,35,26.88888888888889,43.22222222222222
82,2017-12-05,36,30.0,41.666666666666664
83,2017-12-06,47,31.0,49.666666666666664
84,2017-12-07,96,68.44444444444444,87.44444444444444
85,2017-12-08,87,57.22222222222222,79.66666666666667
86,2017-12-09,57,34.0,56.666666666666664
87,2017-12-10,54,32.666666666666664,38.666666666666664
88,2017-12-11,64,39.77777777777778,51.333333333333336
89,2017-12-12,58,44.44444444444444,61.0
90,2017-12-13,53,38.44444444444444,57.666666666666664
91,2017-12-14,47,38.55555555555556,47.666666666666664
92,2017-12-15,43,32.666666666666664,38.0
93,2017-12-16,41,39.888888888888886,42.0
94,2017-12-17,47,26.77777777777778,45.333333333333336
95,2017-12-18,48,34.44444444444444,43.111111111111114
96,2017-12-19,50,49.44444444444444,54.55555555555556
97,2017-12-20,66,44.888888888888886,53.111111111111114
98,2017-12-21,52,38.22222222222222,41.333333333333336
99,2017-12-22,100,59.44444444444444,58.666666666666664
100,2017-12-23,63,28.77777777777778,40.44444444444444
101,2017-12-24,48,25.444444444444443,32.888888888888886
102,2017-12-25,40,19.22222222222222,29.77777777777778
103,2017-12-26,40,24.333333333333332,35.44444444444444
104,2017-12-27,38,18.88888888888889,29.444444444444443
105,2017-12-28,38,22.333333333333332,37.0
106,2017-12-29,32,18.11111111111111,30.88888888888889
107,2017-12-30,33,25.0,27.555555555555557
108,2017-12-31,27,17.0,19.333333333333332
109,2018-01-01,26,12.666666666666666,25.666666666666668
110,2018-01-02,31,17.333333333333332,24.11111111111111
111,2018-01-03,31,20.88888888888889,36.333333333333336
112,2018-01-04,30,20.77777777777778,33.888888888888886
113,2018-01-05,30,22.333333333333332,31.0
114,2018-01-06,25,20.666666666666668,32.77777777777778
115,2018-01-07,27,16.0,26.333333333333332
116,2018-01-08,29,19.77777777777778,25.77777777777778
117,2018-01-09,28,18.666666666666668,25.77777777777778
118,2018-01-10,29,23.444444444444443,25.444444444444443
119,2018-01-11,32,22.555555555555557,26.0
120,2018-01-12,27,21.333333333333332,29.22222222222222
121,2018-01-13,23,18.11111111111111,18.666666666666668
122,2018-01-14,21,15.222222222222221,18.0
123,2018-01-15,22,15.88888888888889,18.555555555555557
124,2018-01-16,43,35.77777777777778,34.44444444444444
125,2018-01-17,57,56.333333333333336,29.88888888888889
126,2018-01-18,40,22.444444444444443,33.44444444444444
127,2018-01-19,29,27.444444444444443,28.88888888888889
128,2018-01-20,24,18.666666666666668,21.555555555555557
129,2018-01-21,23,17.555555555555557,19.555555555555557
130,2018-01-22,26,18.11111111111111,18.11111111111111
131,2018-01-23,25,16.0,18.22222222222222
132,2018-01-24,23,12.333333333333334,19.444444444444443
133,2018-01-25,22,17.333333333333332,17.666666666666668
134,2018-01-26,23,11.777777777777779,16.333333333333332
135,2018-01-27,19,16.555555555555557,15.555555555555555
136,2018-01-28,18,9.88888888888889,13.444444444444445
137,2018-01-29,18,18.666666666666668,21.22222222222222
138,2018-01-30,21,18.444444444444443,14.11111111111111
139,2018-01-31,22,15.444444444444445,23.11111111111111
140,2018-02-01,29,32.22222222222222,22.333333333333332
141,2018-02-02,38,34.333333333333336,28.333333333333332
142,2018-02-03,25,16.11111111111111,18.0
143,2018-02-04,21,15.11111111111111,21.11111111111111
144,2018-02-05,37,29.444444444444443,22.88888888888889
145,2018-02-06,46,38.111111111111114,32.44444444444444
146,2018-02-07,30,14.88888888888889,17.77777777777778
147,2018-02-08,24,16.555555555555557,19.22222222222222
148,2018-02-09,22,18.22222222222222,17.0
149,2018-02-10,18,11.0,12.88888888888889
150,2018-02-11,16,10.0,12.777777777777779
151,2018-02-12,18,13.222222222222221,21.333333333333332
152,2018-02-13,16,13.444444444444445,15.88888888888889
153,2018-02-14,16,8.777777777777779,13.11111111111111
154,2018-02-15,18,11.555555555555555,12.666666666666666
155,2018-02-16,16,11.444444444444445,15.444444444444445
156,2018-02-17,15,14.88888888888889,14.444444444444445
157,2018-02-18,16,8.0,8.222222222222221
158,2018-02-19,15,8.444444444444445,17.11111111111111
159,2018-02-20,16,10.444444444444445,12.333333333333334
160,2018-02-21,16,9.222222222222221,9.222222222222221
161,2018-02-22,15,9.88888888888889,14.88888888888889
162,2018-02-23,14,6.333333333333333,11.777777777777779
163,2018-02-24,12,8.666666666666666,13.666666666666666
164,2018-02-25,11,8.555555555555555,10.444444444444445
165,2018-02-26,13,7.555555555555555,11.0
166,2018-02-27,13,7.555555555555555,15.666666666666666
167,2018-02-28,12,8.777777777777779,10.333333333333334
168,2018-03-01,11,5.0,6.222222222222222
169,2018-03-02,11,9.88888888888889,11.555555555555555
170,2018-03-03,11,7.0,9.333333333333334
171,2018-03-04,10,4.333333333333333,8.11111111111111
172,2018-03-05,11,8.222222222222221,9.88888888888889
173,2018-03-06,11,7.444444444444445,9.666666666666666
174,2018-03-07,13,6.555555555555555,9.777777777777779
175,2018-03-08,13,8.0,12.222222222222221
176,2018-03-09,14,10.333333333333334,9.444444444444445
177,2018-03-10,10,3.4444444444444446,8.777777777777779
178,2018-03-11,10,4.0,12.555555555555555
179,2018-03-12,11,10.11111111111111,13.777777777777779
180,2018-03-13,10,8.88888888888889,13.666666666666666
181,2018-03-14,12,8.11111111111111,11.666666666666666
182,2018-03-15,14,14.777777777777779,6.666666666666667
