Date,price,volume,delta_price1,delta_price2,delta_price3,delta_price4,delta_price5,Abs_delta_price1,Abs_delta_price2,Abs_delta_price3,Abs_delta_price4,Abs_delta_price5
2017-12-17,18972.32,139251.39,-93.38999999999942,-373.1700000000019,1367.4700000000012,2504.41,2685.5,93.38999999999942,373.1700000000019,1367.4700000000012,2504.41,2685.5
2017-12-18,17523.7,174543.37,-1448.619999999999,-1542.0099999999984,-1821.7900000000009,-81.14999999999782,1055.7900000000009,1448.619999999999,1542.0099999999984,1821.7900000000009,81.14999999999782,1055.7900000000009
2017-12-19,16461.97,227676.13,-1061.7299999999996,-2510.3499999999985,-2603.739999999998,-2883.5200000000004,-1142.8799999999974,1061.7299999999996,2510.3499999999985,2603.739999999998,2883.5200000000004,1142.8799999999974
2017-12-20,15632.12,163735.02,-829.8500000000004,-1891.58,-3340.199999999999,-3433.5899999999983,-3713.370000000001,829.8500000000004,1891.58,3340.199999999999,3433.5899999999983,3713.370000000001
2017-12-21,13664.97,466980.6,-1967.1500000000015,-2797.000000000002,-3858.7300000000014,-5307.35,-5400.74,1967.1500000000015,2797.000000000002,3858.7300000000014,5307.35,5400.74
2017-12-22,14396.46,170169.39,731.4899999999998,-1235.6600000000017,-2065.510000000002,-3127.2400000000016,-4575.860000000001,731.4899999999998,1235.6600000000017,2065.510000000002,3127.2400000000016,4575.860000000001
2017-12-23,13789.95,182417.29,-606.5099999999984,124.98000000000138,-1842.17,-2672.0200000000004,-3733.75,606.5099999999984,124.98000000000138,1842.17,2672.0200000000004,3733.75
2017-12-24,13833.49,107475.98,43.539999999999054,-562.9699999999993,168.52000000000044,-1798.630000000001,-2628.4800000000014,43.539999999999054,562.9699999999993,168.52000000000044,1798.630000000001,2628.4800000000014
2017-12-25,15756.56,143135.26,1923.0699999999997,1966.6099999999988,1360.1000000000004,2091.59,124.43999999999869,1923.0699999999997,1966.6099999999988,1360.1000000000004,2091.59,124.43999999999869
2017-12-26,15416.64,138705.28,-339.9200000000001,1583.1499999999996,1626.6899999999987,1020.1800000000003,1751.67,339.9200000000001,1583.1499999999996,1626.6899999999987,1020.1800000000003,1751.67
2017-12-27,14398.7,170366.63,-1017.9399999999987,-1357.8599999999988,565.210000000001,608.75,2.2400000000016007,1017.9399999999987,1357.8599999999988,565.210000000001,608.75,2.2400000000016007
2017-12-28,14392.57,118874.63,-6.130000000001019,-1024.0699999999997,-1363.9899999999998,559.0799999999999,602.619999999999,6.130000000001019,1024.0699999999997,1363.9899999999998,559.0799999999999,602.619999999999
2017-12-29,12531.52,182065.44,-1861.0499999999993,-1867.1800000000003,-2885.119999999999,-3225.039999999999,-1301.9699999999993,1861.0499999999993,1867.1800000000003,2885.119999999999,3225.039999999999,1301.9699999999993
2017-12-30,13850.4,111270.55,1318.8799999999992,-542.1700000000001,-548.3000000000011,-1566.2399999999998,-1906.1599999999999,1318.8799999999992,542.1700000000001,548.3000000000011,1566.2399999999998,1906.1599999999999
2017-12-31,13444.88,78425.21,-405.52000000000044,913.3599999999988,-947.6900000000005,-953.8200000000015,-1971.7600000000002,405.52000000000044,913.3599999999988,947.6900000000005,953.8200000000015,1971.7600000000002
2018-01-01,14754.13,137732.17,1309.25,903.7299999999996,2222.6099999999988,361.5599999999995,355.4299999999985,1309.25,903.7299999999996,2222.6099999999988,361.5599999999995,355.4299999999985
2018-01-02,15156.62,106543.39,402.4900000000016,1711.7400000000016,1306.2200000000012,2625.1000000000004,764.0500000000011,402.4900000000016,1711.7400000000016,1306.2200000000012,2625.1000000000004,764.0500000000011
2018-01-03,15180.08,110968.82,23.459999999999127,425.9500000000007,1735.2000000000007,1329.6800000000003,2648.5599999999995,23.459999999999127,425.9500000000007,1735.2000000000007,1329.6800000000003,2648.5599999999995
2018-01-04,16954.78,141960.42,1774.699999999999,1798.159999999998,2200.6499999999996,3509.8999999999996,3104.379999999999,1774.699999999999,1798.159999999998,2200.6499999999996,3509.8999999999996,3104.379999999999
2018-01-05,17172.3,83927.99,217.52000000000044,1992.2199999999993,2015.6799999999985,2418.17,3727.42,217.52000000000044,1992.2199999999993,2015.6799999999985,2418.17,3727.42
2018-01-06,16228.16,79006.37,-944.1399999999994,-726.619999999999,1048.08,1071.539999999999,1474.0300000000007,944.1399999999994,726.619999999999,1048.08,1071.539999999999,1474.0300000000007
2018-01-07,14976.17,142453.96,-1251.9899999999998,-2196.129999999999,-1978.6099999999988,-203.90999999999985,-180.45000000000073,1251.9899999999998,2196.129999999999,1978.6099999999988,203.90999999999985,180.45000000000073
2018-01-08,14468.5,99730.65,-507.6700000000001,-1759.6599999999999,-2703.7999999999993,-2486.279999999999,-711.5799999999999,507.6700000000001,1759.6599999999999,2703.7999999999993,2486.279999999999,711.5799999999999
2018-01-09,14919.49,142303.9,450.9899999999998,-56.68000000000029,-1308.67,-2252.8099999999995,-2035.289999999999,450.9899999999998,56.68000000000029,1308.67,2252.8099999999995,2035.289999999999
2018-01-10,13308.06,173452.27,-1611.4300000000003,-1160.4400000000005,-1668.1100000000006,-2920.1000000000004,-3864.24,1611.4300000000003,1160.4400000000005,1668.1100000000006,2920.1000000000004,3864.24
2018-01-11,13841.19,102068.02,533.130000000001,-1078.2999999999993,-627.3099999999995,-1134.9799999999996,-2386.9699999999993,533.130000000001,1078.2999999999993,627.3099999999995,1134.9799999999996,2386.9699999999993
2018-01-12,14243.12,71300.93,401.9300000000003,935.0600000000013,-676.369999999999,-225.3799999999992,-733.0499999999993,401.9300000000003,935.0600000000013,676.369999999999,225.3799999999992,733.0499999999993
2018-01-13,13638.63,81536.0,-604.4900000000016,-202.5600000000013,330.5699999999997,-1280.8600000000006,-829.8700000000008,604.4900000000016,202.5600000000013,330.5699999999997,1280.8600000000006,829.8700000000008
2018-01-14,13631.98,84089.84,-6.649999999999636,-611.1400000000012,-209.21000000000095,323.9200000000001,-1287.5100000000002,6.649999999999636,611.1400000000012,209.21000000000095,323.9200000000001,1287.5100000000002
